organization_name,person_name,end_date,source_url,organization_id,role,start_date
Standing Committee on Appropriations,Alina Mfulo,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/782,za.org.pa.www/core_organisation/136,Member,
Democratic Alliance (DA),Allan Eugene Keith Sauls,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6261,za.org.pa.www/core_organisation/78,Member,
African Christian Democratic Party (ACDP),Allan James David Downs,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3967,za.org.pa.www/core_organisation/81,Member,
Democratic Alliance (DA),Allan Lee Jones,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6611,za.org.pa.www/core_organisation/78,Member,
African Christian Democratic Party (ACDP),Alleck Xangu Nxumalo,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3977,za.org.pa.www/core_organisation/81,Member,
Independent Civic Organisation of South Africa (ICOSA),Aloma Daniels,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7273,za.org.pa.www/core_organisation/785,Member,
Democratic Alliance (DA),A Louw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/701,za.org.pa.www/core_organisation/78,Member,
African National Congress (ANC),Alpha Shelembe,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4468,za.org.pa.www/core_organisation/77,Member,
African National Congress (ANC),Alpheus Mokabhe Maziya,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,za.org.pa.www/core_organisation/77,Member,
Defence,Alpheus Mokabhe Maziya,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,za.org.pa.www/core_organisation/173,Alternate Member,
Ad Hoc Committee on General Intelligence Laws Amendment Bill (NA),Alpheus Mokabhe Maziya,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,za.org.pa.www/core_organisation/145,Alternate Member,
Defence and Military Veterans,Alpheus Mokabhe Maziya,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/769,za.org.pa.www/core_organisation/174,Alternate Member,
National Freedom Party (NFP),Alpheus Nkomozalahlwa Mchunu,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7780,za.org.pa.www/core_organisation/792,Member,
United Congress (UNICO),Alswald Mandlenkosi Dosi,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8970,za.org.pa.www/core_organisation/807,Member,
Aesthetics Committee,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/678,Committee Member,
Conduct Committee,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/679,Committee Member,
Gender Committee,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/680,Committee Member,
Rules Committee,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/681,Committee Member,
Standing Committee on Community Safety,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/682,Committee Member,
Standing Committee on Premier,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/683,Committee Member,
Cultural Affairs and Sport,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/684,Alternate Member,
Disabled and Youth Committee,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/685,Alternate Member,
Public Accounts Committee,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/686,Alternate Member,
Standing Committee on Agriculture and environmental Planning,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/687,Alternate Member,
Standing Committee on Community Development,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/688,Alternate Member,
Standing Committee on Education,Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/689,Alternate Member,
Democratic Alliance (DA),Alta Rossouw,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1341,za.org.pa.www/core_organisation/78,Member,
Standing Committee on Agriculture and environmental Planning,Alta van Zyl,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1342,za.org.pa.www/core_organisation/687,Committee Member,
Standing Committee on Education,Alta van Zyl,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1342,za.org.pa.www/core_organisation/689,Committee Member,
Standing Committee on Social Development,Alta van Zyl,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1342,za.org.pa.www/core_organisation/690,Committee Member,
Petitions Committee,Alta van Zyl,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1342,za.org.pa.www/core_organisation/691,Alternate Member,
Rules Committee,Alta van Zyl,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1342,za.org.pa.www/core_organisation/681,Alternate Member,
Standing Committee on Health,Alta van Zyl,,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1342,za.org.pa.www/core_organisation/692,Alternate Member,
