name,pa_url,source_url,org_category,org_classification,popit_id
Joint Committee on HIV and AIDS,http://www.pa.org.za/organisation/joint-committee-on-hiv-and-aids/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/188,political,Joint Committees,za.org.pa.www/core_organisation/188
Joint Committee on the Executive Members Ethics Bill,http://www.pa.org.za/organisation/joint-committee-on-the-executive-members-ethics-bill/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/189,,Ad Hoc Committees,za.org.pa.www/core_organisation/189
Joint Committe on Delegated Legislation,http://www.pa.org.za/organisation/joint-committe-on-delegated-legislation/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/187,political,Joint Committees,za.org.pa.www/core_organisation/187
"Joint Monitoring Committee on Children, Youth and Persons with Disabilities",http://www.pa.org.za/organisation/joint-monitoring-committee-on-children-youth-and-persons-with-disabilities/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/190,,Joint Committees,za.org.pa.www/core_organisation/190
Joint Rules,http://www.pa.org.za/organisation/joint-rules/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/191,,Joint Committees,za.org.pa.www/core_organisation/191
Joint Standing Committee on Intelligence,http://www.pa.org.za/organisation/joint-standing-committee-on-intelligence/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/117,political,Committee,za.org.pa.www/core_organisation/117
Joint Standing on Intelligence,http://www.pa.org.za/organisation/joint-standing-on-intelligence/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/192,political,Joint Committees,za.org.pa.www/core_organisation/192
Justice and Constitutional Development,http://www.pa.org.za/organisation/justice-and-constitutional-development/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/193,political,National Assembly Committees,za.org.pa.www/core_organisation/193
Labour,http://www.pa.org.za/organisation/labour/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/194,political,National Assembly Committees,za.org.pa.www/core_organisation/194
Loc Gvt & Traditional Affairs,http://www.pa.org.za/organisation/loc-gvt-traditional-affairs/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/741,political,Kwazulu-Natal-Provincial-Legislature-Committee,za.org.pa.www/core_organisation/741
Matters Relating to Ex-Mineworkers,http://www.pa.org.za/organisation/matters-relating-to-ex-mineworkers/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/195,,Ad Hoc Committees,za.org.pa.www/core_organisation/195
Mining,http://www.pa.org.za/organisation/mining/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/196,political,National Assembly Committees,za.org.pa.www/core_organisation/196
Monitoring Improvement of Quality of Life and Status of Women,http://www.pa.org.za/organisation/monitoring-improvement-of-quality-of-life-and-status-of-women/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/197,,Joint Committees,za.org.pa.www/core_organisation/197
National Youth Development Agency,http://www.pa.org.za/organisation/national-youth-development-agency/,http://za-new-import.popit.mysociety.org/api/v0.1/organizations/za.org.pa.www/core_organisation/212,,Ad Hoc Committees,za.org.pa.www/core_organisation/212
