SourceName,Role,TargetName
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,ASCENDIS HEALTH LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ASCENDIS HEALTH LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,ARROWHEAD PROPERTIES LIMITED 
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ARROWHEAD PROPERTIES LIMITED 
GRANT THORNTON,Audit Firm,ASCENSION PROPERTIES LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,ASCENSION PROPERTIES LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ASCENSION PROPERTIES LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,ASPEN PHARMACARE HOLDINGS LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,ASPEN PHARMACARE HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ASPEN PHARMACARE HOLDINGS LIMITED
Transfer Secretaries,Transfer Secretary,ASSET BACKED ARB SEC (PTY) LTD
PRICEWATERHOUSECOOPERS INC,Audit Firm,AFROCENTRIC INVESTMENT CORP LIMITED
ERNST & YOUNG INC,Audit Firm,ASSORE LIMITED
THE STANDARD BANK OF SA LTD,Sponsor,ASSORE LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ASSORE LIMITED
DELOITTE & TOUCHE,Audit Firm,ASTRAPAK LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,ASTRAPAK LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ASTRAPAK LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,ASTRAL FOODS LIMITED
JP Morgan Equities Ltd,Sponsor,ASTRAL FOODS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ASTRAL FOODS LIMITED
DELOITTE & TOUCHE,Audit Firm,ATTACQ LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,ATTACQ LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ATTACQ LIMITED
PKF SOUTH AFRICA,Audit Firm,AUSTRO GROUP LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,AUSTRO GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,AUSTRO GROUP LIMITED
Mazars Inc.,Audit Firm,ATLANTIC LEAF PROPERTIES LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,ATLANTIC LEAF PROPERTIES LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ATLANTIC LEAF PROPERTIES LIMITED
Transfer Secretaries,Transfer Secretary,AUTO LOAN INVESTMENTS III LIMITED
Transfer Secretaries,Transfer Secretary,AUTO LOAN INVESTMENTS II LIMITED
Transfer Secretaries,Transfer Secretary,AUTO LOAN INVESTMENTS IV LIMITED
Transfer Secretaries,Transfer Secretary,AUTO LOAN INVESTMENTS LIMITED
Transfer Secretaries,Transfer Secretary,AUTO SERIES INVESTMENT LIMITED
LOGISTA,Audit Firm,AWETHU BREWERIES LIMITED
Deloitte & Touche Sponsor Services (Pty) Ltd,Sponsor,AWETHU BREWERIES LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,AWETHU BREWERIES LIMITED
ERNST & YOUNG INC,Audit Firm,AVENG LIMITED
JP Morgan Equities Ltd,Sponsor,AVENG LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,AVENG LIMITED
KPMG INCORPORATED,Audit Firm,AVI LIMITED
THE STANDARD BANK OF SA LTD,Sponsor,AVI LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,AVI LIMITED
ERNST & YOUNG INC,Audit Firm,BARCLAYS AFRICA GROUP LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,BARCLAYS AFRICA GROUP LIMITED
JP Morgan Equities Ltd,Sponsor,BARCLAYS AFRICA GROUP LIMITED
ABSA CAPITAL,Sponsor,BARCLAYS AFRICA GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BARCLAYS AFRICA GROUP LIMITED
PSG CAPITAL LTD,Debt Sponsor,BANK WINDHOEK LIMITED
Transfer Secretaries,Transfer Secretary,BANK WINDHOEK LIMITED
ABSA CAPITAL,Debt Sponsor,BARCLAYS BANK PLC
Transfer Secretaries,Transfer Secretary,BARCLAYS BANK PLC
Transfer Secretaries,Transfer Secretary,BARNARD JACOBS MELLET HOLDINGS LTD
DELOITTE & TOUCHE,Audit Firm,BARLOWORLD LIMITED
JP Morgan Equities Ltd,Sponsor,BARLOWORLD LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,BARLOWORLD LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,BASIL READ HOLDINGS LIMITED
Macquarie First South Corporate Finance (Pty) Ltd,Sponsor,BASIL READ HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,BASIL READ HOLDINGS LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,BEIGE HOLDINGS LIMITED
ARCAY MOELA SPONSOR (PTY) LTD,Designated Advisor,BEIGE HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,BEIGE HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,BARLOWORLD LIMITED
Transfer Secretaries,Transfer Secretary,BASIL READ (PTY) LIMITED
KPMG INCORPORATED,Audit Firm,ATLATSA RESOURCES CORPORATION
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ATLATSA RESOURCES CORPORATION
KPMG INCORPORATED,Audit Firm,BETTABETA CIS
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,BETTABETA CIS
Strate,Transfer Secretary,BETTABETA CIS
ABSA CAPITAL,Sponsor,BHP BILLITON PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BHP BILLITON PLC
Transfer Secretaries,Transfer Secretary,BAYPORT SECURITISATION (RF) LTD
Transfer Secretaries,Transfer Secretary,BIDVESTCO LIMITED
DELOITTE & TOUCHE,Audit Firm,BK ONE LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BK ONE LIMITED
DELOITTE & TOUCHE,Audit Firm,BIOSCIENCE BRANDS LIMITED
Exchange Sponsors (2008)(Pty) Ltd,Designated Advisor,BIOSCIENCE BRANDS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,BIOSCIENCE BRANDS LIMITED
PSG Capital Ltd,Sponsor,BLACKSTAR GROUP SE
Link Market Services SA (Pty) Ltd,Transfer Secretary,BLACKSTAR GROUP SE
