SourceName,Role,TargetName
Merrill Lynch SA (Pty) Limited,Sponsor,LIBERTY HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,LIBERTY HOLDINGS LIMITED
NEXIA SAB & T,Audit Firm,IMBALIE BEAUTY LIMITED
GRINDROD BANK LIMITED,Designated Advisor,IMBALIE BEAUTY LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,IMBALIE BEAUTY LIMITED
STANDARD BANK OF SOUTH AFRICA LTD,Debt Sponsor,IMPALA PLATINUM HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,IMPALA PLATINUM HOLDINGS LIMITED
Transfer Secretaries,Transfer Secretary,LION OF AFRICA INSURANCE CO LTD
PRICEWATERHOUSECOOPERS INC,Audit Firm,LIFE HEALTHCARE GROUP HOLDINGS LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,LIFE HEALTHCARE GROUP HOLDINGS LTD
Nedbank Capital a division of Nedbanl Limited,Debt Sponsor,INDUSTRIAL DEVELOPMENT CORP OF SA 
Transfer Secretaries,Transfer Secretary,INDUSTRIAL DEVELOPMENT CORP OF SA 
KPMG INCORPORATED,Audit Firm,LITHA HEALTHCARE GROUP LIMITED
ONE CAPITAL (Pty) Ltd,Sponsor,LITHA HEALTHCARE GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,LITHA HEALTHCARE GROUP LIMITED
Strate,Transfer Secretary,INFRASTRUCTURE FINANCE CORP LTD 
Transfer Secretaries,Transfer Secretary,MACQUARIE SEC SOUTH AFRICA LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,INVESTEC BANK LIMITED
RAND MERCHANT BANK,Debt Sponsor,INGUZA INVESTMENTS (RF) LIMITED
Transfer Secretaries,Transfer Secretary,INGUZA INVESTMENTS (RF) LIMITED
ERNST & YOUNG INC,Audit Firm,MASSMART HOLDINGS LIMITED
Deutsche Securities SA (Pty) Ltd,Sponsor,MASSMART HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MASSMART HOLDINGS LIMITED
Transfer Secretaries,Transfer Secretary,INTER FERRO METALS (SA) (PTY) LTD
GRANT THORNTON,Audit Firm,MASTER DRILLING GROUP LTD
Sasfin Bank Ltd,Sponsor,MASTER DRILLING GROUP LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MASTER DRILLING GROUP LTD
PRICEWATERHOUSECOOPERS INC,Audit Firm,MEDICLINIC INTERNATIONAL LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,MEDICLINIC INTERNATIONAL LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MEDICLINIC INTERNATIONAL LIMITED
KPMG INCORPORATED,Audit Firm,MERAFE RESOURCES LIMITED
Merrill Lynch SA (Pty) Limited,Sponsor,MERAFE RESOURCES LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,MERAFE RESOURCES LIMITED
Mazars Inc.,Audit Firm,MAZOR GROUP LIMITED
Bridge Capital Advisors  (Pty) Ltd,Sponsor,MAZOR GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MAZOR GROUP LIMITED
Transfer Secretaries,Transfer Secretary,MAURITIUS COMMERCIAL BANK LIMITED
Strate,Transfer Secretary,INVESTEC BANK LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,METAIR INVESTMENTS LIMITED
ONE CAPITAL (Pty) Ltd,Sponsor,METAIR INVESTMENTS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,METAIR INVESTMENTS LIMITED
Strate,Transfer Secretary,INVESTEC BANK LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,INVESTEC LIMITED
Transfer Secretaries,Transfer Secretary,Metropolitan Life Limited
ERNST & YOUNG INC,Audit Firm,INVESTEC PROPERTY FUND LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,INVESTEC PROPERTY FUND LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,INVESTEC PROPERTY FUND LIMITED
INVESTEC BANK LTD,Debt Sponsor,INVESTEC PROPERTY FUND LIMITED
Transfer Secretaries,Transfer Secretary,INVESTEC PROPERTY FUND LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,Mine Waste Solutions (Pty) Ltd
PRICEWATERHOUSECOOPERS INC,Audit Firm,MIX TELEMATICS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MIX TELEMATICS LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,MMI HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,MMI HOLDINGS LIMITED
NEXIA SAB & T,Audit Firm,MICROMEGA HOLDINGS LIMITED
MERCHANTEC CAPITAL,Sponsor,MICROMEGA HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MICROMEGA HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MERCEDES-BENZ SOUTH AFRICA LIMITED
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,ISITSABA LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ISITSABA LIMITED
Vunani Corporate Finance (Pty) Ltd,Sponsor,ITRIX CIS
Strate,Transfer Secretary,ITRIX CIS
UBS Corporate Finance (South Africa) (Pty) Ltd,Sponsor,MONDI PLC
Link Market Services SA (Pty) Ltd,Transfer Secretary,MONDI PLC
Mazars Inc.,Audit Firm,MORVEST BUSINESS GROUP LIMITED
Sasfin Bank Ltd,Sponsor,MORVEST BUSINESS GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MORVEST BUSINESS GROUP LIMITED
Transfer Secretaries,Transfer Secretary,IVUZI INVESTMENTS LIMITED
DELOITTE & TOUCHE,Audit Firm,MPACT LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,MPACT LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,MPACT LIMITED
ERNST & YOUNG INC,Audit Firm,MR PRICE GROUP LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,MR PRICE GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MR PRICE GROUP LIMITED
SIZWENTSALUBAGOBODO INCORPORATED,Audit Firm,MTN GROUP LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,MTN GROUP LIMITED
Deutsche Securities SA (Pty) Ltd,Sponsor,MTN GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MTN GROUP LIMITED
DELOITTE & TOUCHE,Audit Firm,MURRAY & ROBERTS HOLDINGS LIMITED
Deutsche Securities SA (Pty) Ltd,Sponsor,MURRAY & ROBERTS HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,MURRAY & ROBERTS HOLDINGS LIMITED
Transfer Secretaries,Transfer Secretary,KOMATI RIVER BASIN AUTHORITY
DELOITTE & TOUCHE,Audit Firm,MUSTEK LIMITED
Deloitte & Touche Sponsor Services (Pty) Ltd,Sponsor,MUSTEK LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MUSTEK LIMITED
DELOITTE & TOUCHE,Audit Firm,NAMPAK LIMITED
UBS Corporate Finance (South Africa) (Pty) Ltd,Sponsor,NAMPAK LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,NAMPAK LIMITED
SAFFERY CHAMPNESS GAT,Audit Firm,JUBILEE PLATINUM PLC
Sasfin Bank Ltd,Designated Advisor,JUBILEE PLATINUM PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,JUBILEE PLATINUM PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,NAMPAK PRODUCTS LTD
PKF SOUTH AFRICA,Audit Firm,MIRANDA MINERAL HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MIRANDA MINERAL HOLDINGS LIMITED
Transfer Secretaries,Transfer Secretary,NBC FUTURE GUARD (PTY) LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,KAGISO SIZANANI CAPITAL LTD (RF)
Merrill Lynch SA (Pty) Limited,Sponsor,NEDBANK GROUP LIMITED
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,NEDBANK GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,NEDBANK GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,NEDBANK LIMITED
Strate,Transfer Secretary,NEDBANK LIMITED
PSG CAPITAL LTD,Debt Sponsor,KAP INDUSTRIAL HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,KAP INDUSTRIAL HOLDINGS LIMITED
DELOITTE & TOUCHE,Audit Firm,NEDBANK LTD
GRANT THORNTON,Audit Firm,NETCARE LIMITED
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,NETCARE LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,NETCARE LIMITED
ERNST & YOUNG INC,Audit Firm,NEW GOLD ISSUER LIMITED
ERNST & YOUNG INC,Audit Firm,NEW EUROPE PROPERTY INVESTMENTS PLC 
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,NEW EUROPE PROPERTY INVESTMENTS PLC 
Computershare Investor Services (Pty) Ltd,Transfer Secretary,NEW EUROPE PROPERTY INVESTMENTS PLC 
ERNST & YOUNG INC,Audit Firm,NEWFUNDS MANAGER (Proprietary) Limited
Computershare Investor Services (Pty) Ltd,Transfer Secretary,NEWFUNDS MANAGER (Proprietary) Limited
STANDARD BANK OF SOUTH AFRICA LTD,Debt Sponsor,Letshego Holdings Limited
Computershare Investor Services (Pty) Ltd,Transfer Secretary,Letshego Holdings Limited
Computershare Investor Services (Pty) Ltd,Transfer Secretary,LIBERTY GROUP LIMITED
PKF SOUTH AFRICA,Audit Firm,NIVEUS INVESTMENTS LTD
PSG Capital Ltd,Sponsor,NIVEUS INVESTMENTS LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,NIVEUS INVESTMENTS LTD
ERNST & YOUNG INC,Audit Firm,NORTHAM PLATINUM LIMITED
ONE CAPITAL (Pty) Ltd,Sponsor,NORTHAM PLATINUM LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,NORTHAM PLATINUM LIMITED
Sasfin Bank Ltd,Sponsor,LONDON FINANCE AND INVEST. GRP PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,LONDON FINANCE AND INVEST. GRP PLC
JP Morgan Equities Ltd,Sponsor,LONMIN PLC
Link Market Services SA (Pty) Ltd,Transfer Secretary,LONMIN PLC
Transfer Secretaries,Transfer Secretary,NQABA FINANCE 1 (RF) LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Designated Advisor,MAS REAL ESTATE INC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MAS REAL ESTATE INC
SAFFERY CHAMPNESS GAT,Audit Firm,MARSHALL MONTEAGLE PLC
Sasfin Bank Ltd,Sponsor,MARSHALL MONTEAGLE PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MARSHALL MONTEAGLE PLC
DELOITTE & TOUCHE,Audit Firm,MASONITE (AFRICA) LIMITED
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,MASONITE (AFRICA) LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MASONITE (AFRICA) LIMITED
Macquarie First South Corporate Finance (Pty) Ltd,Sponsor,OANDO PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,OANDO PLC
TUFFIAS SANDBERG KSI,Audit Firm,NU-WORLD HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,NU-WORLD HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,OCTANE ABS 1 (PROPRIETARY) LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,OLD MUTUAL LIFE ASSURANCE CO SA LTD
DELOITTE & TOUCHE,Audit Firm,METROFILE HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,METROFILE HOLDINGS LIMITED
GRANT THORNTON,Audit Firm,METMAR LIMITED
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,METMAR LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,METMAR LIMITED
Merrill Lynch SA (Pty) Limited,Sponsor,OLD MUTUAL PLC
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,OLD MUTUAL PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,OLD MUTUAL PLC
Link Market Services SA (Pty) Ltd,Transfer Secretary,METROPOLITAN HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,OMNIA GROUP (PTY) LTD
HOWARTH LEVETON BONER,Audit Firm,MINE RESTORATION INVESTMENTS LTD
Sasfin Bank Ltd,Designated Advisor,MINE RESTORATION INVESTMENTS LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MINE RESTORATION INVESTMENTS LTD
Transfer Secretaries,Transfer Secretary,MOBILE TEL NETWORKS HLDGS (PTY) LTD
Transfer Secretaries,Transfer Secretary,ONTHECARDS INVEST II (PTY) LTD
Link Market Services SA (Pty) Ltd,Transfer Secretary,Momentum Group Limited
Mazars Inc.,Audit Firm,ORION REAL ESTATE LIMITED
ARCAY MOELA SPONSOR (PTY) LTD,Sponsor,ORION REAL ESTATE LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ORION REAL ESTATE LIMITED
DELOITTE & TOUCHE,Audit Firm,MONDI LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,MONDI LIMITED
BDO SOUTH AFRICA INCORPORATED,Audit Firm,MONEYWEB HOLDINGS LIMITED
ARCAY MOELA SPONSOR (PTY) LTD,Designated Advisor,MONEYWEB HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,MONEYWEB HOLDINGS LIMITED
DELOITTE & TOUCHE,Audit Firm,PAN AFRICAN RESOURCES PLC
ONE CAPITAL (Pty) Ltd,Sponsor,PAN AFRICAN RESOURCES PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PAN AFRICAN RESOURCES PLC
KPMG INCORPORATED,Audit Firm,NICTUS BEPERK
KPMG Services (Pty) Ltd,Sponsor,NICTUS BEPERK
Computershare Investor Services (Pty) Ltd,Transfer Secretary,NICTUS BEPERK
KPMG INCORPORATED,Audit Firm,PICK N PAY HOLDINGS LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,PICK N PAY HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PICK N PAY HOLDINGS LIMITED
KPMG INCORPORATED,Audit Firm,PHUMELELA GAMING & LEISURE LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,PHUMELELA GAMING & LEISURE LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PHUMELELA GAMING & LEISURE LIMITED
Transfer Secretaries,Transfer Secretary,PICK N PAY STORES LIMITED
BDO SOUTH AFRICA INCORPORATED,Audit Firm,PINNACLE HOLDINGS LTD
Deloitte & Touche Sponsor Services (Pty) Ltd,Sponsor,PINNACLE HOLDINGS LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PINNACLE HOLDINGS LTD
PRICEWATERHOUSECOOPERS INC,Audit Firm,NASPERS LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,NASPERS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,NASPERS LIMITED
Transfer Secretaries,Transfer Secretary,NECSA
Computershare Investor Services (Pty) Ltd,Transfer Secretary,NEDBANK LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,PIONEER FOOD GROUP LIMITED
PSG Capital Ltd,Sponsor,PIONEER FOOD GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PIONEER FOOD GROUP LIMITED
ARCAY MOELA SPONSOR (PTY) LTD,Sponsor,PINNACLE POINT GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PINNACLE POINT GROUP LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,NEDBANK LIMITED1 
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,NEDBANK LIMITED1 
Computershare Investor Services (Pty) Ltd,Transfer Secretary,NEDBANK LIMITED1 
KPMG INCORPORATED,Audit Firm,POYNTING HOLDINGS LIMITED
MERCHANTEC CAPITAL,Designated Advisor,POYNTING HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,POYNTING HOLDINGS LIMITED
DELOITTE & TOUCHE,Audit Firm,NET 1 UEPS TECHNOLOGIES INC
Deutsche Securities SA (Pty) Ltd,Sponsor,NET 1 UEPS TECHNOLOGIES INC
Link Market Services SA (Pty) Ltd,Transfer Secretary,NET 1 UEPS TECHNOLOGIES INC
Link Market Services SA (Pty) Ltd,Transfer Secretary,NETCARE LIMITED
DELOITTE & TOUCHE,Audit Firm,PPC LIMITED
Merrill Lynch SA (Pty) Limited,Sponsor,PPC LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,PPC LIMITED
ERNST & YOUNG INC,Audit Firm,NEW GOLD ISSUER LIMITED
ABSA CAPITAL,Sponsor,NEW GOLD ISSUER LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,NEW GOLD ISSUER LIMITED
ERNST & YOUNG INC,Audit Firm,NEWFUNDS COLLECTIVE INVEST SCHEME
ABSA CAPITAL,Sponsor,NEWFUNDS COLLECTIVE INVEST SCHEME
Computershare Investor Services (Pty) Ltd,Transfer Secretary,NEWFUNDS COLLECTIVE INVEST SCHEME
GRANT THORNTON,Audit Firm,PREMIUM PROPERTIES LIMITED
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,PREMIUM PROPERTIES LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PREMIUM PROPERTIES LIMITED
Transfer Secretaries,Transfer Secretary,PREMIUM PROPERTIES LIMITED
KPMG INCORPORATED,Audit Firm,PRESCIENT LIMITED
Bridge Capital Advisors  (Pty) Ltd,Sponsor,PRESCIENT LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PRESCIENT LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,PRESCIENT LIMITED
Deloitte & Touche Sponsor Services (Pty) Ltd,Sponsor,PRIMESERV GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PRIMESERV GROUP LIMITED
Transfer Secretaries,Transfer Secretary,PRIVATE MORTGAGES 3 (PTY) LIMITED
Transfer Secretaries,Transfer Secretary,NITRO SECURITISATION 2 (PTY) LTD
Transfer Secretaries,Transfer Secretary,PRIVATE RES MORT SERIES 2 (PTY) LTD
PSG Capital Ltd,Sponsor,PSG FINANCIAL SERVICES LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PSG FINANCIAL SERVICES LIMITED
Transfer Secretaries,Transfer Secretary,PSG FINANCIAL SERVICES LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,PSG GROUP LIMITED
PSG Capital Ltd,Sponsor,PSG GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PSG GROUP LIMITED
PSG Capital Ltd,Sponsor,PSG KONSULT LIMITED
QUESTCO (PTY) LIMITED,Sponsor,PSG KONSULT LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PSG KONSULT LIMITED
CERTIFIED MASTER AUDITORS (SA) INC,Audit Firm,PSV HOLDINGS LIMITED
MERCHANTEC CAPITAL,Designated Advisor,PSV HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,PSV HOLDINGS LIMITED
GRANT THORNTON,Audit Firm,NUTRITIONAL HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,NUTRITIONAL HOLDINGS LIMITED
ONE CAPITAL (Pty) Ltd,Debt Sponsor,NORTHAM PLATINUM LIMITED
GRANT THORNTON,Audit Firm,QUANTUM PROPERTY GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,QUANTUM PROPERTY GROUP LIMITED
BDO SOUTH AFRICA INCORPORATED,Audit Firm,PURPLE GROUP LIMITED
Deloitte & Touche Sponsor Services (Pty) Ltd,Sponsor,PURPLE GROUP LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,PURPLE GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,RAND MERCHANT BANK
PRICEWATERHOUSECOOPERS INC,Audit Firm,OASIS CRESCENT PROPERTY FUND
PSG Capital Ltd,Designated Advisor,OASIS CRESCENT PROPERTY FUND
Computershare Investor Services (Pty) Ltd,Transfer Secretary,OASIS CRESCENT PROPERTY FUND
PRICEWATERHOUSECOOPERS INC,Audit Firm,RAND MERCHANT INSURANCE HLDGS LTD
Baker Tilly Greenwoods,Audit Firm,RARE HOLDINGS LIMITED
PSG Capital Ltd,Designated Advisor,RARE HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,RARE HOLDINGS LIMITED
KPMG INCORPORATED,Audit Firm,RANDGOLD & EXPLORATION COMPANY LTD
PSG Capital Ltd,Sponsor,RANDGOLD & EXPLORATION COMPANY LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,RANDGOLD & EXPLORATION COMPANY LTD
DELOITTE & TOUCHE,Audit Firm,OCTODEC INVESTMENTS LIMITED
Nedbank Capital ( a division of Nedbank Ltd),Sponsor,OCTODEC INVESTMENTS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,OCTODEC INVESTMENTS LIMITED
LOGISTA,Audit Firm,RBA HOLDINGS LIMITED
Exchange Sponsors (2008)(Pty) Ltd,Designated Advisor,RBA HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,RBA HOLDINGS LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,RAUBEX GROUP LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,RAUBEX GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,RAUBEX GROUP LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,RCL FOODS LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,RCL FOODS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,RCL FOODS LIMITED
Transfer Secretaries,Transfer Secretary,REAL PEOPLE INV HOLDINGS LTD
Link Market Services SA (Pty) Ltd,Transfer Secretary,OMNIA HOLDINGS (Pty) LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,OMNIA HOLDINGS LIMITED
MERCHANTEC CAPITAL,Sponsor,OMNIA HOLDINGS LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,OMNIA HOLDINGS LIMITED
PKF SOUTH AFRICA,Audit Firm,REBOSIS PROPERTY FUND LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,REBOSIS PROPERTY FUND LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,REBOSIS PROPERTY FUND LIMITED
ERNST & YOUNG INC,Audit Firm,RECM AND CALIBRE LIMITED
QUESTCO (PTY) LIMITED,Sponsor,RECM AND CALIBRE LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,RECM AND CALIBRE LIMITED
KPMG INCORPORATED,Audit Firm,REDEFINE INTERNATIONAL PLC
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,REDEFINE INTERNATIONAL PLC
Computershare Investor Services (Pty) Ltd,Transfer Secretary,REDEFINE INTERNATIONAL PLC
PRICEWATERHOUSECOOPERS INC,Audit Firm,ONELOGIX GROUP LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,ONELOGIX GROUP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ONELOGIX GROUP LIMITED
PKF SOUTH AFRICA,Audit Firm,REDEFINE PROPERTIES LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,REDEFINE PROPERTIES LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,REDEFINE PROPERTIES LIMITED
SAFFERY CHAMPNESS GAT,Audit Firm,PALLINGHURST RESOURCES LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,PALLINGHURST RESOURCES LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PALLINGHURST RESOURCES LIMITED
Link Market Services SA (Pty) Ltd,Transfer Secretary,PAMODZI GOLD LIMITED
Mazars Inc.,Audit Firm,PUTPROP LIMITED
MERCHANTEC CAPITAL,Sponsor,PUTPROP LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PUTPROP LIMITED
KPMG INCORPORATED,Audit Firm,PEREGRINE HOLDINGS LIMITED
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,PEREGRINE HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PEREGRINE HOLDINGS LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,REMGRO LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,REMGRO LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,REMGRO LIMITED
KPMG INCORPORATED,Audit Firm,PETMIN LIMITED
River Sponsors (Pty) Ltd,Sponsor,PETMIN LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PETMIN LIMITED
NATIONAL TREASURY,Debt Sponsor,REPUBLIC OF SOUTH AFRICA
Transfer Secretaries,Transfer Secretary,REPUBLIC OF SOUTH AFRICA
Transfer Secretaries,Transfer Secretary,PHAELLO FINANCE COMPANY (PTY) LTD
DELOITTE & TOUCHE,Audit Firm,REUNERT LIMITED
Rand Merchant Bank Corporate Finance Division,Sponsor,REUNERT LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,REUNERT LIMITED
KPMG INCORPORATED,Audit Firm,REX TRUEFORM CLOTHING COMPANY LTD
Java Capital Trustees & Sponsors Pty Ltd,Sponsor,REX TRUEFORM CLOTHING COMPANY LTD
Computershare Investor Services (Pty) Ltd,Transfer Secretary,REX TRUEFORM CLOTHING COMPANY LTD
KPMG INCORPORATED,Audit Firm,PICK N PAY STORES LIMITED
Investec Bank Ltd ( Trading as Investec Securities and Investec Corporate Finance ),Sponsor,PICK N PAY STORES LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,PICK N PAY STORES LIMITED
BDO SOUTH AFRICA INCORPORATED,Audit Firm,ROCKCASTLE GLOBAL REAL EST CO LTD
Java Capital Trustees & Sponsors Pty Ltd,Designated Advisor,ROCKCASTLE GLOBAL REAL EST CO LTD
Link Market Services SA (Pty) Ltd,Transfer Secretary,ROCKCASTLE GLOBAL REAL EST CO LTD
KPMG INCORPORATED,Audit Firm,ROCKWELL DIAMONDS INCORPORATED
PSG Capital Ltd,Sponsor,ROCKWELL DIAMONDS INCORPORATED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ROCKWELL DIAMONDS INCORPORATED
SIZWENTSALUBAGOBODO INCORPORATED,Audit Firm,ROLFES HOLDINGS LIMITED
GRINDROD BANK LIMITED,Sponsor,ROLFES HOLDINGS LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ROLFES HOLDINGS LIMITED
PRICEWATERHOUSECOOPERS INC,Audit Firm,ROYAL BAFOKENG PLATINUM LIMITED
Macquarie First South Corporate Finance (Pty) Ltd,Sponsor,ROYAL BAFOKENG PLATINUM LIMITED
Computershare Investor Services (Pty) Ltd,Transfer Secretary,ROYAL BAFOKENG PLATINUM LIMITED
